channel,lane,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,mean_effective_rate_bps,min_effective_rate_bps,mean_psr,ber,decode_seconds
red3,3,adaptive_lite,512,16,0.5,5,10,10,0,3057.0648464163824,2932.286689419795,0.8166666666666667,0.012438457330415756,0.060747301991666655
red3,3,standard,512,0,0.5,5,10,10,0,2983.1944444444443,2983.1944444444443,0.7833333333333333,0.020801422319474835,0.04300993181666667
red3,3,adaptive_lite,512,0,0.5,5,10,10,0,2983.1944444444443,2983.1944444444443,0.7833333333333333,0.02289615244347192,0.06538169038333333
red3,3,standard,1024,64,0.5,5,10,10,0,1840.268456375839,1778.9261744966443,0.5,0.056774252370532456,0.04380751783333333
red3,3,adaptive_lite,1024,64,0.5,5,10,10,0,1840.268456375839,1778.9261744966443,0.5,0.05769283369803063,0.081002479775
red3,3,lite,1024,64,0.5,5,10,10,0,61.34228187919463,0.0,0.016666666666666666,0.17424325309992705,0.08540890173333333
red3,3,lite,512,16,0.5,5,10,8,0,0.0,0.0,0.0,0.2090080233406273,0.07932278972500001
red3,3,lite,512,16,0.5,5,10,10,0,0.0,0.0,0.0,0.23396927425237055,0.08843176646666667
red3,3,lite,512,0,0.5,5,10,10,0,0.0,0.0,0.0,0.24289296134208607,0.07908484215833335
red4,1,standard,512,16,0.5,5,10,10,0,3618.566552901024,3556.1774744027302,0.9666666666666666,0.0013584974471188914,0.08973749580833335
red4,1,adaptive_lite,512,16,0.5,5,10,10,0,3587.372013651877,3556.1774744027302,0.9583333333333333,0.0028309628008752735,0.11046603825833334
red4,1,standard,512,32,0.5,5,8,10,0,3458.5906040268455,3458.5906040268455,0.9666666666666667,0.00038219846182704936,0.08906869119166667
