channel,lane,seed,frames,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,refinement_selected_frames,joint_cwz_accepted_steps,joint_cwz_rejected_steps,selection_reasons
red2,1,6,60,cz_refinement,512,32,0.25,3,10,10,0,10,1496,31,0.5166666666666667,89760,229,0.002551247771836007,0,0.45600271956666677,778.1208053691275,0,0,0,crc_fallback:29;lite_crc_valid_skip:31
red2,1,6,60,joint_cwz,512,32,0.25,3,10,10,0,10,1496,32,0.5333333333333333,89760,227,0.0025289661319073085,0,0.31540462215,803.2214765100671,1,232,0,crc_fallback:28;crc_rescue:1;lite_crc_valid_skip:31
red2,1,7,60,lite,512,32,0.25,3,10,10,0,10,1496,29,0.48333333333333334,89760,246,0.0027406417112299467,0,0.18598901471666668,727.9194630872483,0,0,0,
red2,1,7,60,cz_refinement,512,32,0.25,3,10,10,0,10,1496,30,0.5,89760,245,0.002729500891265597,0,0.4800076261499999,753.0201342281879,1,0,0,crc_fallback:31;crc_rescue:1;lite_crc_valid_skip:28
red2,1,7,60,joint_cwz,512,32,0.25,3,10,10,0,10,1496,30,0.5,89760,245,0.002729500891265597,0,0.3262734908,753.0201342281879,1,256,0,crc_fallback:31;crc_rescue:1;lite_crc_valid_skip:28
red2,1,6,60,lite,1024,64,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,47274,0.21550875273522976,0,0.22698868225000005,61.34228187919463,0,0,0,
red2,1,6,60,cz_refinement,1024,64,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,47274,0.21550875273522976,0,1.2490003596166668,61.34228187919463,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,1,6,60,joint_cwz,1024,64,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,47274,0.21550875273522976,0,0.9844041038999999,61.34228187919463,0,472,0,crc_fallback:59;lite_crc_valid_skip:1
red2,1,7,60,lite,1024,64,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,46342,0.2112600291757841,0,0.21254608199999997,61.34228187919463,0,0,0,
red2,1,7,60,cz_refinement,1024,64,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,46342,0.2112600291757841,0,1.1949146607666667,61.34228187919463,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,1,7,60,joint_cwz,1024,64,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,46342,0.2112600291757841,0,0.9453835070000001,61.34228187919463,0,472,0,crc_fallback:59;lite_crc_valid_skip:1
red2,2,6,60,lite,512,32,0.5,3,8,10,0,10,2924,0,0.0,175440,39010,0.22235522115823073,0,0.1906401258,0.0,0,0,0,
red2,2,6,60,cz_refinement,512,32,0.5,3,8,10,0,10,2924,0,0.0,175440,39010,0.22235522115823073,0,0.9837613918333332,0.0,0,0,0,crc_fallback:60
red2,2,6,60,joint_cwz,512,32,0.5,3,8,10,0,10,2924,0,0.0,175440,39010,0.22235522115823073,0,0.7522139875333334,0.0,0,480,0,crc_fallback:60
red2,2,7,60,lite,512,32,0.5,3,8,10,0,10,2924,0,0.0,175440,38664,0.22038303693570452,0,0.17935687686666663,0.0,0,0,0,
red2,2,7,60,cz_refinement,512,32,0.5,3,8,10,0,10,2924,0,0.0,175440,38664,0.22038303693570452,0,0.9050821014333337,0.0,0,0,0,crc_fallback:60
red2,2,7,60,joint_cwz,512,32,0.5,3,8,10,0,10,2924,0,0.0,175440,38664,0.22038303693570452,0,0.6752438529999999,0.0,0,480,0,crc_fallback:60
red2,2,6,60,lite,512,32,0.5,3,5,10,0,10,2672,1,0.016666666666666666,160320,31927,0.19914545908183634,0,0.16965388815000007,44.83221476510067,0,0,0,
red2,2,6,60,cz_refinement,512,32,0.5,3,5,10,0,10,2672,1,0.016666666666666666,160320,31927,0.19914545908183634,0,0.8461881944166667,44.83221476510067,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,2,6,60,joint_cwz,512,32,0.5,3,5,10,0,10,2672,1,0.016666666666666666,160320,31927,0.19914545908183634,0,0.6142986514,44.83221476510067,0,472,0,crc_fallback:59;lite_crc_valid_skip:1
red2,2,7,60,lite,512,32,0.5,3,5,10,0,10,2672,2,0.03333333333333333,160320,30996,0.1933383233532934,0,0.17261041694999993,89.66442953020135,0,0,0,
red2,2,7,60,cz_refinement,512,32,0.5,3,5,10,0,10,2672,2,0.03333333333333333,160320,30996,0.1933383233532934,0,0.8309387153000001,89.66442953020135,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red2,2,7,60,joint_cwz,512,32,0.5,3,5,10,0,10,2672,2,0.03333333333333333,160320,30996,0.1933383233532934,0,0.6317003448166667,89.66442953020135,0,464,0,crc_fallback:58;lite_crc_valid_skip:2
red2,2,6,60,lite,512,32,0.5,3,10,10,0,10,3008,0,0.0,180480,37793,0.20940270390070923,0,0.1931112887333333,0.0,0,0,0,
red2,2,6,60,cz_refinement,512,32,0.5,3,10,10,0,10,3008,0,0.0,180480,37793,0.20940270390070923,0,1.0176232833999999,0.0,0,0,0,crc_fallback:60
red2,2,6,60,joint_cwz,512,32,0.5,3,10,10,0,10,3008,0,0.0,180480,37793,0.20940270390070923,0,0.779426463583333,0.0,0,480,0,crc_fallback:60
